
[02:21:20.000 --> 02:21:21.000]   >> Thank you.
[04:04:49.920 --> 04:04:55.920]   Moving on to other business, board or staff, conference or comments.
[04:04:55.920 --> 04:05:04.920]   I just want to renew my request again for a presentation on community schools, which I believe is in the works. I'm hoping.
[04:05:04.920 --> 04:05:26.920]   I'm wondering if we can, as part of the pool conversation, in bringing back different information, maybe give us some information on how much revenue a pool can generate, both 50-meter and whatever other size pools you're bringing back to.
[04:05:26.920 --> 04:05:33.920]   I don't know if there's any difference in how much they can generate, but I think it might be worth us looking at.
[04:05:33.920 --> 04:05:40.920]   Thank you.
[04:05:40.920 --> 04:06:02.920]   I think the board received last Friday a draft calendar of the board of education meetings for the entire year, and if you look in the education services section, you'll see that you have well spaces for September and then community schools and for October.
[04:06:02.920 --> 04:06:06.920]   Thank you.
[04:06:06.920 --> 04:06:22.920]   Just as a follow-up as well, and there were some very poignant questions that were brought up as well associated with the pool, and unfortunately I wasn't able to be here, but I would ask the board to have a vision.
[04:06:22.920 --> 04:06:41.920]   And the vision is we want to see that we're updating all of our schools, modernizations, you know, second phases, where have you, all of our kids are going to matriculate to and from and through the high school.
[04:06:41.920 --> 04:06:59.920]   And so we want the attractability in that nature, and this could be another form of that, so that the, it was spoken about the ROI, you know, with the return on investment, and it'd be a huge investment.
[04:06:59.920 --> 04:07:09.920]   If you looked at what just took place recently with the Olympics, that right there is going to be here in four years.
[04:07:09.920 --> 04:07:13.920]   Guess what they're going to need in four years?
[04:07:13.920 --> 04:07:17.920]   Accessibility to 50-meter pools.
[04:07:17.920 --> 04:07:28.920]   If you looked at the time trial here in Indianapolis, where the Indianapolis Colts play, they put up an aquatic center in a week.
[04:07:28.920 --> 04:07:42.920]   With the Olympics, they had a Taylor Swift concert two days prior, and in 48 hours they put up two Mertha pools in that center.
[04:07:42.920 --> 04:07:45.920]   This is the Olympics.
[04:07:45.920 --> 04:07:57.920]   So I asked this board to have that type of vision that if the Olympics can do this in two days, literally, why can't we do that?
[04:07:57.920 --> 04:08:16.920]   So the other thing is that when our own staff came to us, an initial $30 million project, and it was reduced down to a realistic number.
[04:08:16.920 --> 04:08:18.920]   I hope we're kind of like out of line right now.
[04:08:18.920 --> 04:08:22.920]   We're talking about an agenda item, and an item that's not on the agenda.
[04:08:22.920 --> 04:08:26.920]   No, this is open comments.
[04:08:26.920 --> 04:08:30.920]   You were talking about an item that's not on the agenda.
[04:08:30.920 --> 04:08:37.920]   Usually open comments are reserved for like, "Oh, literally, what are we going to do in the future at the next meeting?"
[04:08:37.920 --> 04:08:39.920]   If you'd like to request it to be on the next meeting.
[04:08:39.920 --> 04:08:41.920]   Sure, then I would request it to be on the next meeting.
[04:08:41.920 --> 04:08:45.920]   Okay, but I think it's unfair for you to talk about it, and we can't respond appropriately.
[04:08:45.920 --> 04:08:47.920]   And it was on the agenda last month.
[04:08:47.920 --> 04:08:48.920]   Yeah.
[04:08:48.920 --> 04:08:51.920]   And I did mention that.
[04:08:51.920 --> 04:08:56.920]   So anyway, yeah, so I'd request it to be on the agenda next month.
[04:08:56.920 --> 04:08:57.920]   Okay.
[04:08:57.920 --> 04:08:59.920]   I have a lot of questions.
[04:08:59.920 --> 04:09:11.920]   I'd also like to make a request as well, and for the next meeting, I understand that the school site, prior to the July 18th meeting, made massive concessions to bring down the cost of the pool down to the proper budget.
[04:09:11.920 --> 04:09:13.920]   Those were never presented at the July 18th meeting.
[04:09:13.920 --> 04:09:25.920]   If you can have those numbers, you know, also requested and also displayed at the next month's meeting, I believe that would be -- or at least when the pool's on the agenda, that would be proper.
[04:09:25.920 --> 04:09:26.920]   Thank you.
[04:09:26.920 --> 04:09:32.920]   You know, you're really asking our staff to read your meeting that we just did last month because you missed it.
[04:09:32.920 --> 04:09:33.920]   I think that --
[04:09:33.920 --> 04:09:34.920]   No, I'm not.
[04:09:34.920 --> 04:09:35.920]   Actually --
[04:09:35.920 --> 04:09:36.920]   No, it's not.
[04:09:36.920 --> 04:09:39.920]   They're actually updating the comments.
[04:09:39.920 --> 04:09:42.920]   They are, honey, that update us later on in the year.
[04:09:42.920 --> 04:09:46.920]   I don't know what you're talking about.
[04:09:46.920 --> 04:09:54.920]   Well, I would only ask them to come back with an agenda -- with an item if they have an update, like with new information.
[04:09:54.920 --> 04:09:58.920]   The staff is working on some of the items that they are --
[04:09:58.920 --> 04:10:01.920]   I mean, they're putting together -- they're starting school.
[04:10:01.920 --> 04:10:04.920]   They can't be just focused on one item at this moment.
[04:10:04.920 --> 04:10:06.920]   They did it last month, and you weren't here.
[04:10:06.920 --> 04:10:09.920]   I'm sorry you missed it.
[04:10:09.920 --> 04:10:10.920]   Okay.
[04:10:10.920 --> 04:10:11.920]   If you're against the pool, then just say --
[04:10:11.920 --> 04:10:13.920]   I didn't say I was against the pool.
[04:10:13.920 --> 04:10:16.920]   If you listened to the meeting, I said I wanted to fill all of our options.
[04:10:16.920 --> 04:10:18.920]   It's our duty to do that.
[04:10:18.920 --> 04:10:20.920]   Okay, and I'm just asking the board to have a vision to --
[04:10:20.920 --> 04:10:22.920]   But you weren't here last month at all.
[04:10:22.920 --> 04:10:23.920]   It doesn't matter.
[04:10:23.920 --> 04:10:25.920]   We're talking about today.
[04:10:25.920 --> 04:10:34.920]   So, just to close this out, staff is preparing to follow up on the last meeting that we had.
[04:10:34.920 --> 04:10:40.920]   We're preparing things, and we'll take the comments that were made right now into consideration in that presentation.
[04:10:40.920 --> 04:10:41.920]   Thank you.
[04:10:41.920 --> 04:10:49.920]   While you're at it, can you also add the information that we talked about a year ago regarding the canyon pool and the orange pool,
[04:10:49.920 --> 04:10:52.920]   and that's the status of their pools as well?
[04:10:52.920 --> 04:10:56.920]   I believe that that was part of the request the last time, and it's planned to bring that information back.
[04:10:56.920 --> 04:10:58.920]   Okay, thank you.
[04:10:58.920 --> 04:10:59.920]   Thank you.
[04:10:59.920 --> 04:11:01.920]   Board meetings adjourned in 906.
[04:11:01.920 --> 04:11:02.920]   Thank you.
[04:11:40.920 --> 04:11:42.980]   you
